Location ID,Site,Ecosystem,Transect,Fetch,Wave Height E,Wave Height NE,Wave Height SE,Air Temp,Sea Temp,Canopy Cover,Stem Density,Sediment,Turbidity,DBH,Seagrass,Seagrass Cover,Wrack,Rhizophora
1,Godwin Beach,Live Mangrove,1,59.61,0.0985113,0.132746,0.00752139,18.6,18.4,86.84,11,53.194,30.1,8.174197887,0,0,1,1
1,Godwin Beach,Live Mangrove,2,59.61,0.0985113,0.132746,0.00752139,17.9,18.4,73.84,25,56.539,30.1,5.94921178,0,0,1,1
1,Godwin Beach,Live Mangrove,3,59.61,0.0985113,0.132746,0.00752139,18.2,18.4,79.56,17,44.159,30.1,11.37321225,0,0,1,1
1,Godwin Beach,Dead Mangrove,1,59.61,0.0985113,0.132746,0.00752139,18.2,17.8,57.2,29,51.221,2.63,11.2204235,1,41.67,1,1
1,Godwin Beach,Dead Mangrove,2,59.61,0.0985113,0.132746,0.00752139,19.2,17.8,57.2,7,42.703,2.63,12.41408558,1,15.83,1,1
1,Godwin Beach,Dead Mangrove,3,59.61,0.0985113,0.132746,0.00752139,19.6,17.8,58.24,20,37.664,2.63,11.26498688,1,42.5,1,1
1,Godwin Beach,Seagrass,1,59.61,0.0985113,0.132746,0.00752139,19,14.8,0,0,58.106,14.8,0,1,54.55,0,0
1,Godwin Beach,Seagrass,2,59.61,0.0985113,0.132746,0.00752139,19.4,14.8,0,0,57.98,14.8,0,1,7.73,0,0
1,Godwin Beach,Seagrass,3,59.61,0.0985113,0.132746,0.00752139,19.3,14.8,0,0,60.574,14.8,0,1,97.27,0,0
2,Beachmere,Live Mangrove,1,58.33,0.082695,0.119009,0.00339909,18.5,20.5,88.4,14,81.611,13.44,6.012873757,0,0,0,0
2,Beachmere,Live Mangrove,2,58.33,0.082695,0.119009,0.00339909,18,20.5,82.68,38,79.506,13.44,3.937493297,0,0,1,0
2,Beachmere,Live Mangrove,3,58.33,0.082695,0.119009,0.00339909,20,20.5,34.84,9,77.562,13.44,2.836141089,0,0,1,0
2,Beachmere,Dead Mangrove,1,58.33,0.082695,0.119009,0.00339909,18.9,20.5,0,37,70.732,0.87,3.991605977,0,0,1,0
2,Beachmere,Dead Mangrove,2,58.33,0.082695,0.119009,0.00339909,19,20.5,0,36,68.271,0.87,3.705127079,0,0,1,0
2,Beachmere,Dead Mangrove,3,58.33,0.082695,0.119009,0.00339909,17.6,20.5,0,55,75.591,0.87,4.555014476,0,0,1,0
2,Beachmere,Seagrass,1,58.33,0.082695,0.119009,0.00339909,18.1,17.9,0,0,152.268,11.45,0,1,27.27,1,0
2,Beachmere,Seagrass,2,58.33,0.082695,0.119009,0.00339909,18.4,17.9,0,0,224.869,11.45,0,1,18.18,1,0
2,Beachmere,Seagrass,3,58.33,0.082695,0.119009,0.00339909,17.9,17.9,0,0,163.969,11.45,0,1,5.9,1,0
3,Wynnum,Live Mangrove,1,43.37,0.0120907,0.0236587,0.00138241,14.5,15.6,65.52,40,52.216,5.4,15.82955066,0,0,0,1
3,Wynnum,Live Mangrove,2,43.37,0.0120907,0.0236587,0.00138241,15.6,15.6,72.28,30,35.436,5.4,15.52715627,0,0,0,1
3,Wynnum,Live Mangrove,3,43.37,0.0120907,0.0236587,0.00138241,15.4,15.6,70.72,53,98.783,5.4,9.994930438,0,0,0,1
3,Wynnum,Dead Mangrove,1,43.37,0.0120907,0.0236587,0.00138241,16.6,17.7,0,30,99.835,5.6,0,0,0,0,1
3,Wynnum,Dead Mangrove,2,43.37,0.0120907,0.0236587,0.00138241,17,17.7,0,34,28.45,5.6,0,0,0,0,1
3,Wynnum,Dead Mangrove,3,43.37,0.0120907,0.0236587,0.00138241,18,17.7,0,34,35.149,5.6,0,0,0,0,1
3,Wynnum,Seagrass,1,43.37,0.0120907,0.0236587,0.00138241,14.2,14.3,0,0,85.936,15.6,0,1,58.63,0,0
3,Wynnum,Seagrass,2,43.37,0.0120907,0.0236587,0.00138241,17.8,14.3,0,0,189.017,15.6,0,1,15.09,0,0
3,Wynnum,Seagrass,3,43.37,0.0120907,0.0236587,0.00138241,22.5,14.3,0,0,82.134,15.6,0,1,34.09,0,0
